Name,Desc,PlantType,Color,HardinessZones,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance
Helenium (Sneezeweed),"<p>Helenium is a genus of<strong> about 40 species</strong> in the family <strong>Asteraceae</strong>, native to the Americas.<br/>
Helenium produces bright green foliage and long, thin stalks with vibrant, daisy-like flowers that bloom in summer and fall. Each flower is actually a group of smaller flowers composed of a central circular group of tiny disk flowers (disk florets), and an outer ring of larger ray flowers (ray florets), the so-called “petals” that may face outward from the center or may droop downward. These sun-loving plants will add bright colors to your garden, attracting butterflies and other pollinators.</p>","Annuals, Perennials","Helenium flowers come in shades of yellow, orange, red and brown.",3-8,"Autumn, Summer",Helenium grows up to 150 cm (5 ft) tall.,"Helenium likes moist and well drained soil, and will tolerate most pH levels.",Full sun,avarage,medium
Helianthus (Sunflower),"<p>Helianthus, better known as Sunflower, is a genus of <strong>about 70 species</strong> of annuals and perennials in the <strong>daisy family (Asteraceae)</strong>, native to North America, with a few species from South America.<br/>
Sunflowers have big, daisy-like flowers in bright colors often with a contrasting darker centre and large, bristly, dark green leaves. These sun-loving plants are recognized worldwide for their beauty, as well as agricultural importance.</p>","Annuals, Perennials","Although yellow is the original color, Sunflowers also come in shades of cream, red, orange and purple that contrast with deep brown centers.",3-9,"Autumn, Summer","Although there are some dwarf species that grow 30-60 cm (1-2 ft) tall, Sunflowers are usually tall plants which can grow up to 3 metres (10 ft) in height.","Sunflowers grow best in fertile, well drained soil, with a pH range between 6.0 and 7.5.",Full sun,avarage,low
Heliconia (Lobster Claw; False Bird of Paradise),"<p>Heliconia is a genus of <strong>about 200 species</strong> in the <strong>family Heliconiaceae</strong>, native to the tropical Americas, with some species occurring in the Pacific Ocean.<br/>
Heliconia is a beautiful, exotic looking plant with multi-color bracts and tiny, hidden flowers, some of which you can see peeking out from the upper bracts. The showy colored structures we call “flowers” are actually modified leaves, called bracts, which contain the small true flowers inside them. Heliconia is so unique that once you see it, you’ll never forget it! Appreciated for its glamorous appearance, Heliconia is the perfect addition to many different bouquets and arrangements.</p>",Perennials,"The colors of the flowers range in hues of red, orange, pink, yellow and green.",9-11,"Spring, Autumn, Summer","Heliconias can vary in height from as small as 60 cm (2 ft) to 6 metres (20 ft), depending on species.",Heliconia prefers rich and well drained soil that stays consistently moist. The optimal pH range is between 5.0 and 7.0.,"Full sun, Partial sun",avarage,low
Helleborus (Hellebore; Christmas Rose),"<p>Helleborus, also known as Hellebore, is a genus of <strong>about 20 species</strong> of perennial herbs in the <strong>family Ranunculaceae</strong>, native to Europe and Asia.<br/>
The plant produces individual flowers consisted of 5 sepals and cup-shaped nectaries. What we call flowers are actually sepals that enclose the petals and protect the true flowers, which are actually at the center of the sepals, consisting of a cluster of stamens and small and insignificant petals. The sepals are showy and come in a wide range of colors including purple, pink, green, yellow, white and black.</p>",Perennials,"The flowers come in various colors, from purple to pink, green, yellow, white and even black.",4-9,"Spring, Winter","They range in size from 30 cm (1 ft) to 1,2 metres (4 ft) tall.","These plants prefer rich, moist and well-drained soil. They are tolerant of most soil types, but avoid planting them in dry or waterlogged soil.","Partial sun, Shade",avarage,low
Hibiscus (Rose mallow),"<p>Hibiscus is a genus of <strong>about</strong> <strong>400 different species</strong> in the <strong>family Malvaceae</strong>, native to warm temperate and tropical regions. These plants can be woody shrubs or small trees, as well as annuals or perennials.<br/>
In the world of flowers, they are known for their colorful, large and trumpet-shaped flowers. These flowers will add color and interest to your garden, while also attracting hummingbirds and butterflies.</p>","Annuals, Perennials, Shrubs, Trees","The flowers come in a variety of colors, from red, orange, pink and yellow to white, purple and blue.",4-11,"Autumn, Summer",These beauties can reach heights up to 4 metres (13 ft).,"Hibiscus likes moist and well drained soil, with a neutral to slightly acidic pH.","Full sun, Partial sun",avarage,low
Hippeastrum (Amaryllis),"<p>Hippeastrum is a genus in the <strong>family Amaryllidaceae</strong> with <strong>about 90 species</strong> and more than 600 hybrids. It is native to tropical regions of the Mexico, Caribbean, and South America.<br/>
Hippeastrum is a perennial herbaceous bulbous plant that has large trumpet-shaped flowers in various patterns. The hybrids are even more extravagant. Hippeastrum is often, but incorrectly called Amaryllis.</p>",Bulbs,"Hippeastrum comes in red, pink, salmon, orange, white, yellow and pale green colors.",2-10,"Spring, Winter, Summer",Hippeastrum grows from 30 cm to 90 cm (1 to 3 ft) high.,"This plant will grow in moist and well drained soil that is acidic, alkaline or neutral.","Full sun, Partial sun",avarage,low
Hosta (Plantain Lily),"<p>Hosta is a genus of <strong>about 30 species</strong> of perennials in the <strong>family Asparagaceae</strong>, native to northeast Asia.<br/>
These shade loving plants are widely known for their attractive and lush foliage in a variety of shapes, sizes and colors. Although they are generally grown for their foliage, their beautiful trumpet-shaped flowers will just add more charm. Hostas are much loved by bees and, occasionally, hummingbirds. They can turn a shady part of your yard into an elegant landscape!</p>",Perennials,"These flowers are usually white, whitish with lavender lines or even purple.",3-9,"Spring, Autumn, Summer","Some varieties are short, while some can grow up to 180 cm (6 ft) tall.","Hosta can tolerate just about any soil, but does best in rich, moist and well-drained soil.","Partial sun, Shade",avarage,low
Hoya (Wax Plant),"<p>Hoya is a genus composed of <strong>about 200 species</strong> in the family <strong>Apocynaceae</strong>. The species can be found from India and China to Thailand, Malaysia, Philippines, Indonesia and Australia.<br/>
These slow growing plants have long, woody stems and fleshy leaves. The flowers are sweet-scented and star-shaped, usually with five thick and waxy petals. They are perfect for hanging baskets or in a vertical garden.</p>","Climbers, Perennials, Shrubs","The flowers are mostly white, but are also available in shades of pink, red, purple, orange and green.",8-12,"Spring, Autumn, Winter, Summer",Hoya plants range in size from 10 cm (4 inches) to 3 meters (10 ft) in height.,"The plant will grow best in moist and well drained soil, with a pH between 5.0 and 6.5.","Full sun, Partial sun",avarage,low
Hyacinthus (Hyacinth),"<p>Hyacinthus is a small genus of <strong>three species</strong> of bulbous flowering plants in the <strong>Asparagaceae family</strong>, native to Mediterranean and Middle East.<br/>
The plant has narrow leaves that are folded lengthwise, and highly attractive and fragrant flowers which are borne in a raceme cluster at the top of the leafless stems. Hyacinthus, commonly known as Hyacinth, is extremely popular and praised because of its unique, rich and heavy scent. Hyacinths are great for gardens, as well as for bouquets and arrangements.</p>",Bulbs,"Hyacinth comes in many color varieties, such as purple, blue, white, yellow, red, pink and orange.",4-8,Spring,Hyacinth can grow up to 30 cm (1 ft) in height.,These plants will perform well in moist and well drained soil that is neutral to slightly acidic.,"Full sun, Partial sun",avarage,low
Hydrangea (Hortensia),"<p>Hydrangea is a genus of <strong>about 70 species</strong> of shrubs, trees and climbers in the <strong>family Hydrangeaceae</strong>, native to southern and eastern Asia.<br/>
There are many varieties and different types of Hydrangeas. Their big, bushy head and charismatic flowering blooms in intense colors are magnificent for bouquets and arrangements. Hydrangeas are some of the most popular flowers around. These flowers bring timeless beauty and charm which makes them perfect for any setting!</p>","Climbers, Shrubs, Trees","The flowers come in shades of blue, purple, white, pink and red.",3-9,"Spring, Autumn, Summer","The species range in size from 60 cm to 12 metres (2 ft to 40 ft) in height, depending on species.","Hydrangea grows best in moist, but well drained soil.",Partial sun,avarage,low
Hypericum (St. John’s Wort),"<p>Hypericum is a genus of <strong>more than 200 species</strong> of flowering plants in the <strong>family Hypericaceae</strong>, growing in the temperate regions of Europe, northern Africa, and the Middle East.<br/>
They have five-petalled, bright yellow flowers, with prominent stamens which are often united in bundles. These plants have been of scientific interest due to their widespread use in folk medicine. Many species are cultivated as ornamentals.</p>","Annuals, Perennials, Shrubs, Trees",The flowers are generally yellow.,4-9,"Spring, Autumn, Summer","Hypericum can reach a height between 30 cm (1 ft) and 2 m (7 ft), depending on species.",Hypericum grows best in moist and well drained soil that has a pH between 5.5 and 7.0.,"Full sun, Partial sun",avarage,low
